type_signature,count,sample_topics_decoded
"Str,Address,Str,I128,I128,Str,Bytes,Address",260,"{""topics_decoded"":[{""type"":""Str"",""value"":""LockEvent""},{""type"":""Address"",""value"":""GB7PT7AHQCYWA6RWXRGEX66DQSOFJZO45O3VPDZXLCUFZPHH7CZPCUNU""},{""type"":""Str"",""value"":""0xaf88d065e77c8cc2239327c5edb3a432268e5831""},{""type"":""I128"",""value"":""19700000""},{""type"":""I128"",""value"":""19109000""},{""type"":""Str"",""value"":""0xFa2c6A9FF5762AfEEb6eb4C65F68967401FC7720""},{""type"":""Bytes"",""value"":""617262""},{""type"":""Address"",""value"":""CCW67TSZV3SSS2HXMBQ5JFGCKJNXKZM7UQUWUZPUTHXSTZLEO7SJMI75""}]}"
"Sym,Address,Address,",102,"{""topics_decoded"":[{""type"":""Sym"",""value"":""bid_created""},{""type"":""Address"",""value"":""GCY3XIQIH37SKGYQD7DWVF5EAPEHOOWHN2CPNJQUBPOFPWX63KHKSVGE""},{""type"":""Address"",""value"":""CBZJDM4CRWMIMHIDXIZUE7WB3ZAO6FKC3NIK2YT35335F2THKSHRHXDL""},{""type"":"""",""value"":""(void)""}]}"
Address,72,"{""topics_decoded"":[{""type"":""Address"",""value"":""CAER4JYSCU2LS3KUTX3IROPIA3LJZRLIWWLMKQHWMKPRAAXNPHOIW5DO""}]}"
"Sym,Sym,Address",47,"{""topics_decoded"":[{""type"":""Sym"",""value"":""reflector""},{""type"":""Sym"",""value"":""charged""},{""type"":""Address"",""value"":""GBB6Z46VEBLQ54THWQP3KHEMVS2WQURHBG2X7R5AO6HVDMAMYASZOMML""}]}"
"Str,Address",47,"{""topics_decoded"":[{""type"":""Str"",""value"":""price_updated""},{""type"":""Address"",""value"":""GBVDYH4EAKDPGBIGJNCLKJVUOQKFRYOBJBCNTLQF4CX2Y422E6KDALDB""}]}"
"Sym,Map",35,"{""topics_decoded"":[{""type"":""Sym"",""value"":""message_approved""},{""type"":""Map"",""value"":""[{contract_address CBDBMIOFHGWUFRYH3D3STI2DHBOWGDDBCRKQEUB4RGQEBVG74SEED6C6} {message_id 0x6538b066d98bbd9d4e5338f19146d773747022fc4e698376671e4a1d228e69e3-252142} {payload_hash 660b955ac9da93dac707146028bd29df0068020e62e2f64cff5797f83171d371} {source_address axelar1aqcj54lzz0rk22gvqgcn8fr5tx4rzwdv5wv5j9dmnacgefvd7wzsy2j2mr} {source_chain axelar}]""}]}"
"Sym,U32,U32,U32",32,"{""topics_decoded"":[{""type"":""Sym"",""value"":""proposal_voting_closed""},{""type"":""U32"",""value"":""6""},{""type"":""U32"",""value"":""1""},{""type"":""U32"",""value"":""52318282""}]}"
"Str,Str,I128,Address",27,"{""topics_decoded"":[{""type"":""Str"",""value"":""ClaimEvent""},{""type"":""Str"",""value"":""0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE""},{""type"":""I128"",""value"":""355200""},{""type"":""Address"",""value"":""GBJPLNOYJPHTPEOCNOTCHQND4DAPB5TAZQGD6RNIDZNRTN2YUH4BZXGS""}]}"
"Sym,Sym,Sym,Address",20,"{""topics_decoded"":[{""type"":""Sym"",""value"":""reflector""},{""type"":""Sym"",""value"":""triggers""},{""type"":""Sym"",""value"":""charged""},{""type"":""Address"",""value"":""GBB6Z46VEBLQ54THWQP3KHEMVS2WQURHBG2X7R5AO6HVDMAMYASZOMML""}]}"
"Str,Address,Address",19,"{""topics_decoded"":[{""type"":""Str"",""value"":""swap""},{""type"":""Address"",""value"":""GCG2OOXXMYYO3M3WOGIGKPMW7VKQ5JQGL2MC2U7C2GPXSY3XXUXABW6F""},{""type"":""Address"",""value"":""GCG2OOXXMYYO3M3WOGIGKPMW7VKQ5JQGL2MC2U7C2GPXSY3XXUXABW6F""}]}"
"Sym,I128",18,"{""topics_decoded"":[{""type"":""Sym"",""value"":""loan""},{""type"":""I128"",""value"":""1""}]}"
"Sym,Address,I128",16,"{""topics_decoded"":[{""type"":""Sym"",""value"":""close""},{""type"":""Address"",""value"":""GBCI62KTQRZYSFQUZBSF4NVTW5LMBRW5UPHI5EO665AZSGQVNTVIK3D2""},{""type"":""I128"",""value"":""15400000""}]}"
"Sym,Address,Str,Str,Bytes",13,"{""topics_decoded"":[{""type"":""Sym"",""value"":""contract_called""},{""type"":""Address"",""value"":""CBDBMIOFHGWUFRYH3D3STI2DHBOWGDDBCRKQEUB4RGQEBVG74SEED6C6""},{""type"":""Str"",""value"":""axelar""},{""type"":""Str"",""value"":""axelar1aqcj54lzz0rk22gvqgcn8fr5tx4rzwdv5wv5j9dmnacgefvd7wzsy2j2mr""},{""type"":""Bytes"",""value"":""cde1a55477b3ba1fb8402074a478533046aea9afaaf6e11d0c8fe310ddd6be84""}]}"
"Sym,Address,Str,Str,Bytes,Address,Map",13,"{""topics_decoded"":[{""type"":""Sym"",""value"":""gas_paid""},{""type"":""Address"",""value"":""CDEKXENLFI5A4XF5X2NQRDX5BK6MS2G47MU52N66Z6GAU4WUQ3RCH24M""},{""type"":""Str"",""value"":""stellar""},{""type"":""Str"",""value"":""CDEKXENLFI5A4XF5X2NQRDX5BK6MS2G47MU52N66Z6GAU4WUQ3RCH24M""},{""type"":""Bytes"",""value"":""56570de287d73cd1cb6092bb8fdee6173974955fdef345ae579ee9f475ea7432""},{""type"":""Address"",""value"":""GCUIBOS2JPTJSJ3PFMXU4RD67PS5QT7FG3HSXHFZQGVNIYXPYODKRJ7S""},{""type"":""Map"",""value"":""[{address CAS3J7GYLGXMF6TDJBBYYSE3HQ6BBSMLNUQ34T6TZMYMW2EVH34XOWMA} {amount 1}]""}]}"
"Sym,Bytes,Address,Address,U32",13,"{""topics_decoded"":[{""type"":""Sym"",""value"":""token_manager_deployed""},{""type"":""Bytes"",""value"":""aab70a74fae5d4d70134970cc0a7a03ff70bfffd5891f79d2f4daf1b5fade846""},{""type"":""Address"",""value"":""CDPV3H7C3MR2R4Y4GAEJN4AXXY4LBITRRVE74VSMVCSBWISIU3Q4QTMW""},{""type"":""Address"",""value"":""CBW73NFK3QHM3L72MOONBUL2EHMT4NKAK73EJ4KIFGCZYHU67655KVLI""},{""type"":""U32"",""value"":""0""}]}"
"Sym,Bytes,Address,Str,Str,U32,",10,"{""topics_decoded"":[{""type"":""Sym"",""value"":""interchain_token_deployed""},{""type"":""Bytes"",""value"":""746434bc85362fccb23bc104b6150faef0b2d2ff96a50f2d125530444a6b990f""},{""type"":""Address"",""value"":""CB6Y3ILCSW2XZJIJHZ3XSZBZVYNHGA4VXNKMLHDAHLVMNR2DNL43ESIG""},{""type"":""Str"",""value"":""test""},{""type"":""Str"",""value"":""TEST""},{""type"":""U32"",""value"":""18""},{""type"":"""",""value"":""(void)""}]}"
"Sym,Address,I128,I128",9,"{""topics_decoded"":[{""type"":""Sym"",""value"":""create""},{""type"":""Address"",""value"":""GBCI62KTQRZYSFQUZBSF4NVTW5LMBRW5UPHI5EO665AZSGQVNTVIK3D2""},{""type"":""I128"",""value"":""30000000""},{""type"":""I128"",""value"":""10000000""}]}"
"Sym,U128,Address",9,"{""topics_decoded"":[{""type"":""Sym"",""value"":""processed_queue""},{""type"":""U128"",""value"":""1""},{""type"":""Address"",""value"":""GD7AQNVSFI2RFLZPU7ZNKDBJTOGNZHVDSJKEQB7YJMBARNOKUIA552SO""}]}"
"Sym,Str,Address,Map",7,"{""topics_decoded"":[{""type"":""Sym"",""value"":""gas_refunded""},{""type"":""Str"",""value"":""0x6a7348f84b5c0a42892656228834fcf3880a827cedeafcf6cfc171d825250395-2""},{""type"":""Address"",""value"":""GCUIBOS2JPTJSJ3PFMXU4RD67PS5QT7FG3HSXHFZQGVNIYXPYODKRJ7S""},{""type"":""Map"",""value"":""[{address CAS3J7GYLGXMF6TDJBBYYSE3HQ6BBSMLNUQ34T6TZMYMW2EVH34XOWMA} {amount 16635805}]""}]}"
