asset_code,asset_issuer,cnt
WWG1WGA,GC5N3ALBPGAT62DWPZCWEQNZ2DNOFT4VSHUWKUKRP6JVJU5Y36RGETT3,1067533
BTCF,GD2NDD3GLGIBBTIUH72NB3AAL367C6ZYULFO7QJQKW6NB7H4QORDHDLD,1036690
DRAIN,GD3G7RPMMGPS7Y3FBEMRZQCDHHQRLIW67ZB4T57AW5SZDVJHVUD7PLUG,1034158
CTX,GBFH4VACBGBJEKNZIYFZ57ZL2PY7LKSASSH7QIYK6LF4BVKJRF5W3QKF,1034037
PARROT,GCAEW4GPH4A4L2G6TLWHWNNLTMILMD4QSW7F5HQAB6NKC2EZVV2YDVPM,1033421
ENIZ,GDLMUA4ZQSU3LMKEW7LETSIYLYMATTGVPXCHFRRTGQTF6K55XOQIENIZ,1030827
WAVES,GCQEKCSJ7IQTEEOT57T5LXKEYPPEBZGODQZHUYOBW6HKNSXUXAMH376F,1021138
NUC,GBD34FWTQRZTW2XSE2HXQORNAVJM2CQ4QVIIVRDHUXXUKWV2V65GJ5YR,1020845
APA,GDOIDHQ3QSDTTPFX3GKBCFY7BYIGOWBHTHW2R3SNHWMYIDVWH5I7RURV,1017614
PYBC,GBVB43NLVIP2USHXSKI7QQCZKZU2Z6U6A5PAHMIW7LLNVMQJTOX2BZI5,1013557
CENTUS,GD43GJWAV4WVMW5O4LL27FFFXF5SFNQY7NYPHOMHFHFNYAI2W6OTYEMU,1009976
CM10,GDBCHKTHJUKDGSIQSTBUXFWVP3QVART5LED6KRZQ5X4Z5WLT4BGYXWCI,1009805
SCN,GAVAR4DWFKNPXZNNFW6Y4CLU6SIXNWHBPKHSYWH5O6V4NVLOLFVBOMCE,1006480
ECOM,GC7DWZQHXOGHXMK7ZLN7Q42SNSRZ72M72LZG33Z4ULN4K6XG3AT4EDEI,1005725
PETRO,GBSBGGGFAYY2X4XU4P4KSW4WXMX4L4MSS5JHME2VOUQLOYP44HSVXGMA,996388
ACDF,GDNUVPUOMWOF2ML5FA5E4HQDX7EHV3VCJTLLTO563PUMZKMHJUJIJSYI,995891
WHIPLASH,GD433VZYCLHOQL2AZZGRXCDU7JGPMOY6NC732WQJJ7PN6JEWBYBWANQK,991880
DEXO,GDJORZLOTFG4SFF7BOYYTGPRJAPOLEW7GAQMI6AAISRHHJTPGI6Q4O4D,971829
DOLLARYDOO,GBB7GOVJGVFMZK4O7KPY755DRCY74ANQDSHKJFSFCEGR3I4EAEEDZ4D6,969028
THESENATE,GBMNC336VCPNQXZY32PFXBIMJSOU7FMGIREGAOG6LDJW5AEEUUSVNYH2,960434
88LIONSGATE,GCVLIONF42UANHUXIKQX4I3DOBTKKWBKIN5ETSPYYNEKYMLJKI5OYEOS,958352
DogFish,GBACK6N7E6HPCBH5QM4BNM5PGQOAHT2JB6CUXPFMG4F5VA5HXY2FJRLN,957551
JUBILEE,GCKWPVWVC4UIGM2OATZ2DDXLAPOMC7AN76D6CFL7ZTPQPFCYVZDLN37L,934000
UNI,GCQEKCSJ7IQTEEOT57T5LXKEYPPEBZGODQZHUYOBW6HKNSXUXAMH376F,928270
TRX,GCQEKCSJ7IQTEEOT57T5LXKEYPPEBZGODQZHUYOBW6HKNSXUXAMH376F,925782
ORANGE,GB76IMWJ6CZRREE4W6GXKK37RZYLTAO5EHQHXV65F3VSX23MYVSHNDKB,921567
PEPE,GCPI26UHLDB7O2VLHEQ27ASW7E6LFALJ3AXIEMLIQBCBWN2VYLDL4UTL,912720
DOT,GCQEKCSJ7IQTEEOT57T5LXKEYPPEBZGODQZHUYOBW6HKNSXUXAMH376F,907680
XPD,GCWJYGLODM2G43P4BHYAENEU6VNF6AZIM7WRRGUSLW3WXHZH2IQK4MRJ,904726
ABDT,GDZURZR6RZKIQVOWZFWPVAUBMLLBQGXP2K5E5G7PEOV75IYPDFA36WK4,897272
NFTXLM,GD7576XBTZKQMMX3J6BQBLXMM3RD4SFUIIKHUYZVCFPZIOMS7RUPZV3E,889806
JFK,GBQG74JPPWZUD5OG4CP4GNJC7FMVMAVSHGSAAMW7OIMK234OQCG4ET5U,886865
LTC,GCQEKCSJ7IQTEEOT57T5LXKEYPPEBZGODQZHUYOBW6HKNSXUXAMH376F,886148
WWERAW,GA2KSLEVVSZNKP5C6HGY5QE24HHECYF5J36RN4F2KK6NF55EYEN7FGVK,880016
XPT,GAFPPZ2KVIJEVQTCWGE5D33RRX7CLBDMOTDQAUUT5S5GVC3K3ZU6NRSZ,872588
CTC,GAWBT6SB4ODLHD3D35WMPLOITXKU7ZYLL2VPXEJXR3Z2ASKKLP5GP4OH,861327
Gold,GCWRAHABTJ3W2VSLSNE3Q3QDJVK62FN3ZMXMJLA5ZUZ3V3WWPRX5OKLW,853619
DBC,GDGHJL32AYPBNKLJQXWEASJVXBDWS2JO7LICIMGS4JVIPXH6KGO5SQBS,845246
LINE,GDUCT5M3RYMD3RODRGKB3R46WSNAVFIDIB4PFMWUKKDJ2DG3XEEUBUL5,844346
STP,GBKS3ZVQ6H6FGXQYZCVKJHN3DJLZ57B3AS64HDSN6UVZZEJIAPLQGQVI,840640
DOGE,GCQEKCSJ7IQTEEOT57T5LXKEYPPEBZGODQZHUYOBW6HKNSXUXAMH376F,833532
SOL,GCQEKCSJ7IQTEEOT57T5LXKEYPPEBZGODQZHUYOBW6HKNSXUXAMH376F,831049
FreeSpirit,GBT2QKX5B56HNJDJ6BX74RXOCL26VAECDCH43Z5F5ME3KL32O6GSMYRT,824387
IDEX,GBFGJH4I4LMAC3NFH6262Z32JCXT6TMC7SO2XPKKJ5S3GAZHPF6QVHVF,823481
FLEX,GAJPEST5EQ73Z3LNXFC4TU5T5PZ6YCOJUPGPALWPMOP6L57YGZWITKJD,821416
MARIOGOLF,GD5BSBJSOZPTAG4CEFR2BJPS6N7F6F53BYQPPLBFTL3F75KAKUW74SOT,818338
WSD,GDSVWEA7XV6M5XNLODVTPCGMAJTNBLZBXOFNQD3BNPNYALEYBNT6CE2V,815510
BANDCOIN,GCMEPWXKQ4JCBE4NRRFTPAOP22N3NXUHTHJQSWRSKRD7APA6C7T4ESLG,810746
BILEX,GDA2N66ETPFN5IOFTY4VDB4FV4OSMNFNWAAF7NAQ4ZP4VJ4VYGSRPJ6I,802908
SOLS,GAWTJMZIR4KPCZ7BQZK6QRAJYT6FOIM3YP2MKGWOYHPJYQQOIEJWFRED,802361
HOT,GB6DMQ5IZUPRRMNTPU4H5FX32DRYCZ447REBEQ32YGVPPGZI5MX4AHOT,799839
CANNACOIN,GBLJ4223KUWIMV7RAPQKBA7YGR4I7H2BIV4KIMMXMQWYQBOZ6HLZR3RQ,790538
ADA,GCQEKCSJ7IQTEEOT57T5LXKEYPPEBZGODQZHUYOBW6HKNSXUXAMH376F,781516
PROTON,GACR4Z24V64D2WO753OHJPBKKJMIL5DUQ736VBDGAFF7Q7TKBEXRMZKW,776126
LRT,GB7EFWTJFVSB3N6F5YJFWK3SHYJ7YI3O5RUUWLF2PWREPN4QNHLRWCAS,774814
QADSAN,GAKGQRKHKIL5DMOG45JVKATVHUFXJGJBM6EIG5STOS2JFFKD5TVQKZSY,770291
REWARDS,GDJIZCFPQE7CQI6BYKKENGOD33ZOM5422LZJOEHQBOG3BBPTFXQGOVQT,768718
AAVE,GCQEKCSJ7IQTEEOT57T5LXKEYPPEBZGODQZHUYOBW6HKNSXUXAMH376F,762311
CALL,GCZBJ6KTNNGYFJUHM7JLIVPXCKF4244KGIULAFITYXE2NCSP2CW3CALL,761572
ECF,GCTEYZ3JHOILGDCCGCK3T4ZTM6COFFN7AR7NVXSHYYTEJNGB7EB2N2VY,743372
TRUMP,GBD3W4ZYR6O5H4GIUUAYHO5TDT5PALJASOCIYNTYK75JG3N7TAWIF5PY,742632
XLMRIPPLE,GCQ7XS5GK7YH3EU6JSUPY5CCDDJKBJD3Z4IAAH4BMJT6PZV26K7WFWNH,737420
GENESIS,GANISAINTV6JEBPJ3S6ISZIGWTLJT66QNFOYLZNCPAZLUUI5XPIUYMO7,735785
INTEGRITY,GAOOA6BGLMUKF67ANURD4YME6KFBRAS2JL4XN6BLD5VD4KZG5WYQ6XSG,727114
BlueDiamond,GB6JUGMA5TMLZGSOHJTEIARYGZQEN57EXTNZNCGO7VBYDZRNVWE3VLM4,719547
RSI,GA6GB5TSN7M7I46ROJS4RWVYY5NODKHWCWBLRXZEN2ZATRCV7GFPJRPY,714334
LADYDI,GBD3W4ZYR6O5H4GIUUAYHO5TDT5PALJASOCIYNTYK75JG3N7TAWIF5PY,705328
ICP,GCQEKCSJ7IQTEEOT57T5LXKEYPPEBZGODQZHUYOBW6HKNSXUXAMH376F,694306
BNB,GCQEKCSJ7IQTEEOT57T5LXKEYPPEBZGODQZHUYOBW6HKNSXUXAMH376F,692631
IOTA,GCQEKCSJ7IQTEEOT57T5LXKEYPPEBZGODQZHUYOBW6HKNSXUXAMH376F,691798
ALGO,GCQEKCSJ7IQTEEOT57T5LXKEYPPEBZGODQZHUYOBW6HKNSXUXAMH376F,684244
ELGOOG,GCXGEFMH3MAXCESR2E6TT2TEIVKJ6NO6B2OYDKUQF3FJGP35OBHXU2KU,681802
BTC,GCQEKCSJ7IQTEEOT57T5LXKEYPPEBZGODQZHUYOBW6HKNSXUXAMH376F,676859
XNI,GAREWGATUELLAK7ZQFOD44JF5U6MPKSXQB4OV64PQE2MYOY7UPK3YYJI,671171
ETN,GAJSZCIF6YHVOQOYMAPFHHDYAP334ID77YOLRPLBB3D2OOLXRQ7EVG4P,649854
JFKJR,GBD3W4ZYR6O5H4GIUUAYHO5TDT5PALJASOCIYNTYK75JG3N7TAWIF5PY,635605
FKGOLD,GAKRSCYI36DT5R6C4CRB5EGAGBWR3VNFM57NKDUI7HDKMA7BLX5QQUSA,632320
SEALS,GCIJ4WXMIGJTVN26TDTBW3EHTLEJFYTVQKEP25ZNF3XEW5E53ZD4BLVO,626627
TREEP,GAVBWV24PZ6POVQGQO5UEWGO3TO7ERYXRFFI6V5VH3BMTPDZOHVOFA3G,619692
MAS,GDGU55CDRBWSCHX6TGOAYZCRVWSHURZT3GJQAPA4OCDS2MM45KZPGJTR,618994
NORA,GCWLS57RYB67I3LYXQECRVSRB62OVQPF3U2DCTDJLJ5ZETY6TFQ6VL2W,591046
FEEDTOKEN,GAPN5PVGCA4IMVAQ5V75FTFMBXUZQEMI3F2GYB4NY5Y6UWK2BC2ZYBCW,589475
ATOM,GCQEKCSJ7IQTEEOT57T5LXKEYPPEBZGODQZHUYOBW6HKNSXUXAMH376F,566084
XLI,GA6D3EMUMRLTQAU2M3PXV77KHKAJ2HFNHCRASHY4UTNNKZD45NAHUQ4H,565810
XNUC,GCQLTOYAVU5RMSMA6PYYKXEM7Y5GTOW2LNC5VZXT3MF72YYAC22OC3GL,564835
SKISHU,GCJZ7EGDO5LTX3U2IW4IODHJ6O453KX7STMC4ISFUZ4DVT4KC6IJKUIE,549039
XFF,GAZEX2USUBMMWFRZFS77VDJYXUFLXI4ZGFPWX6TBNZCSTEQWNLFZMXFF,539185
HOBONICKEL28,GDITAX3D5AOXY5ZNONZF76HHST6RAJQ7RSOYA4TXHRNWW4IUUNKJ6UDM,537242
Q,GD5B5NLPMY45NKWTBGSLXCBU5ZAKDP25OPLCE2WWG46ZA2LEQCLTU5BX,534416
PHX,GDWMI5LHWWJ67LLVZS72BGGCBNWHJU67T4QTIE43VQNAVNR5MCH6K24X,527420
XMR,GCQEKCSJ7IQTEEOT57T5LXKEYPPEBZGODQZHUYOBW6HKNSXUXAMH376F,525377
RAVE,GDI5LKDFLDFS4R5X4D47OD3ISEIRWL3SONEKZVUAYWGQQLTDGJ4AI2RX,524444
SHIB,GD2WEVG46WHUMADE2C7EZPCNF7AES4HGNTZTBGIVC5RR54RNQE3UI7KB,523625
TZASILVER,GAJ4N3R4LZAZVKR7MLCXVHOHF7X2RYCDDJ5VCA4X4UYOFWZV3NZXTANZ,517040
XAG,GC5W7XYTZNN3MWO7FOVWRUZZQNVKGIGOWNHKIJ3NYCYNA6QW5Y5WMWVK,515425
BTC1,GCIEGKAZ4ZUM4PEBTDXUMG6N4ZXOTCCK3UMSJCJ33QE5SVMCTTBKCVNY,510672
DUST,GDO6LNF7EEJS642LKPEXG5K2GQZTGADOFPJ5A34ZYHUYIRVGZMC7DUST,508886
XMC,GDXVVEFXCCZNKUNF2NF7BCNFOGYDCGFPBFM7KB4JTSM3AQF5GOCIHT4Y,507683
ySHX,GC2DJG4CK77ATZKAK2EPQK64PTLTY3FSOPS44NXVMDLGBVOI5BDIYSHX,490860
KISHU,GDCIAWIE2LZ6B553EKX2S5CFF3YMJD66DPXS2VLMXBNVZEXJ6XJYOZIN,486444
TanzaniteGem,GD4X6NILXB3O6BXHYHNUCNP3QYPP7EAD7O2GK5HA4EHDLN6C3M722VRQ,477862
IBM,GC7FABWS7OABOQHNH6TA3RNUUDGO5TWYYQUMCHSBQ5ZOOI2WNW2D2IBM,477584
RAFA,GCQEILHHJY722RZN7644ODZSYU37ZWFO26RHLTXHXW44UX5B3P6BEYKK,473085
EPAY,GBZXY3R47XIBR5O2EPPQ3P66AHQGCL2TGZ3UXS77IGIEBXV6PMS73TWQ,472257
neco,GB5NWTBDWP4S5YEPLXOPAUFAENOK7KM3Q6ZFZ55TGGQYIZEPFT22OL4S,471872
IXINIUM,GCQTMTNBGWPK5CM7WJOPFC4UJMHXELZQ2AXXVIE2Z4XFDSUUXJJQU273,455423
EOS,GCQEKCSJ7IQTEEOT57T5LXKEYPPEBZGODQZHUYOBW6HKNSXUXAMH376F,450264
USD,GAQTQSTVA6QWZSWTE4CVZLU6XDP3H3DVEXIIG2XMZGMLY3XCY5GZMNMI,446974
StellarSkull,GDA4ZWWN4ADUUHVHC34M32QJPJZV6NSTDW3UQTI4BDRKH6IW5KG5KAPS,443221
KES,GA2MSSZKJOU6RNL3EJKH3S5TB5CDYTFQFWRYFGUJVIN5I6AOIRTLUHTO,436470
XRP,GBXVMUV4TYSNW2ZNAN7M5GDYMU3YYADCRJAZR7LJTMDTYHN5NMRYEXRP,429721
COLSILVER,GBIUSF22TQKBMM3JRJNAFPASFOINN3NI3IRXQVFXL4CX3HOOKJFNNCOL,429435
SHX,GC2O7NDIWV67AOMMBHIWDJS5ILM6G6D5TJND6NWXJXZHI3XLE27XXSHX,427205
ETH,GAC63S3QEA5TKKGPLSLGCUSAFASDNO44XDWDNGLPM6UZSBLXA7W47JGZ,426905
SpaceForce,GCJYPBFQLRJ4YPHGGYWGJST53Q5SZYQO2VNVF3SBD3YNXM6ENXWPGBYS,426457
BTC,GAC63S3QEA5TKKGPLSLGCUSAFASDNO44XDWDNGLPM6UZSBLXA7W47JGZ,426451
HEX,GAFWA2DAM34MK3UVD34ECEHO5QIO2ILHLFOPJC33INPGUPLBC2EVNCSM,422742
BONUS,GCP7IKROLJVDTQC34CNZGL6OAAWJ62H5MO3IST7CTOEYK7GWRR4CHDUH,421073
XLMG,GCTQ5CUMQWSVBGCTSTF2PCTJY7ANLOF3B6UALQ6BLIF2NIDB4NYAF6SU,420901
ETH1,GCIEGKAZ4ZUM4PEBTDXUMG6N4ZXOTCCK3UMSJCJ33QE5SVMCTTBKCVNY,417810
DOGETM,GAELISX3N25AZ3ZWIMLERBYZKQMKFJTR4ENDSTA2ZSOCDH5E25ZZMGKA,415880
XLB,GAMA33LC7FK5RF4XE5HOVX456GX4VHDZUCJ7APY4TZ4IHG65ZWVXD333,414159
Military,GBWHYVDUF2TNQ4DJQI3BFVJPNV7BJVFFBVF5CSQB62NDLMIUN7AMPDDO,411974
ALSET,GC6RHO5KWZFKDSFOOU2FTO7DTN4HUHZ5FWF2BLSHGOHHLO5NGJPWRGUB,405010
XLMC,GDXDSWHDDV4RVACN2HGJSSM5M7BLPKI6U6VGP4OQSCPH4BYXXAPDQSKA,403399
RUM,GBUQ35KGC6L4YBEWLGKNJKIIII7GBIGB4BJW53H54HSZE33DFSTB4LXX,398652
XDC,GCDHQNJ24C274ADWUZVGVWMUKYM245TPLURY4ADVXV23CCCTANL3PUOA,394923
DUNBAR,GB46WASWB3RY6YGF4BG7HNGCFMNRL7QEYZTZ67IB5ELNEGY32I3WPROJ,390634
SHX,GDE6VDVKEY4MHGZUIPRTNSNXIX5FGQAERI3LNVOU3IAAEQYYE7HZIRDZ,389152
LMEXLM,GAHXNHINLMFGQSCE5QJR65IBENVKUWZOXNX3V4JU6GA343TUD2F56Z4U,388839
LCINR,GAWLOWOROQTHJXY7SHOX3KANJAHBTL4S67M5RJP6NPDSPZSASTNAK7DP,384741
FINX,GC7N3EWH5IVYHF7USMMOGRJ75LGZZ3TH2HZEO3KUWLJ3GPYCSCD2S22Z,380962
QUBIC,GBQVV3OX6CMGSL7RGPBMBD3PCWRKI4TOLY3B2EIOVFEANFHVQUPAY76Z,379689
ORG,GCXRV7HJ7CM72QTD5UOQD5B5GG54AXJFJSBQOBDELH7X3VFPKZ2I3TQR,379530
MKR,GCQEKCSJ7IQTEEOT57T5LXKEYPPEBZGODQZHUYOBW6HKNSXUXAMH376F,378476
LINDELL,GATGODISQ2GC47RUPZHRZVP5ANWGHA3TBW65NWMKMTZDUERFZMGPY56P,377609
DOGET,GAGNJFFZKGSGZFBMJBCYYIA6L7PREFLJ2OVBVL64JVPVEJJINU4L7655,374977
XLMNETWORK,GA7CWR3OWJVEMH466Q2R54XJCLJKTHNV4RGZGNTXJVSUQAQINK7HY7OW,372089
QSILVER,GAM5E45JMMLMZLU4BTY3PN5TO4GVPBU7MN35OAXJUQMWG7PT544METAL,365524
ASD,GB3RNZA7QRAQDCY5JYV3RVVUXZPQPREB6IAYKCJTVSGSSEL5UCV3ONGA,363793
WHIPLASH,GAKCPQALRFOVGT7UBYV2672VTWQAAWGQZUXQE6GZDKXFFDSHEYVDWHIP,361762
JPM,GAKRSCYI36DT5R6C4CRB5EGAGBWR3VNFM57NKDUI7HDKMA7BLX5QQUSA,361754
IBMQ,GDXO4C33IEXGF4TE4RRZFCJ2N4RVV65UAGTYHRMFC4KAP4RFD2Q3IBMQ,359546
LINK,GCQEKCSJ7IQTEEOT57T5LXKEYPPEBZGODQZHUYOBW6HKNSXUXAMH376F,357038
AUSGOLD,GAYDBWHI6EYG4ZGF5SAMXNTFBX2TLBLQ5AEE66LCAW6GMS7KRTQPGOLD,352073
FISH,GDIQISYK3ZJEL4LAKXRQEXC4XFSUFCC2DALPTL7VYWZI62QEP42FFISH,351102
UNIDO,GDF2TYICBFXTD5U2Z7EQTZO7DSBHPIQ4CN2TPLTIPQLJLEHR3V5TAUNI,349842
XLMMega,GAMH54QWYMJ2NACVBGNU7PPWWKIWE7L3QXGGGI65QO6ODJIDRAPZQAYF,349356
BCH,GCQEKCSJ7IQTEEOT57T5LXKEYPPEBZGODQZHUYOBW6HKNSXUXAMH376F,348854
LINE,GDCB5GMUDW7D5DXQCAUA6ZK2MF3BV2J4HBJG6DHS5LDUIYQSXQ6NLINE,346855
RKYN,GBJXKR52SIL2W5M3H2WRKYYFHPN2CEWR34UPBR42VSB752RJ4HX6RKYN,343512
XDC,GAVUE76Q7OB2YLKOLDHNGEP4VSKOQEZGMXECDVD2O4OGZH4244KETBAX,343046
COSMOOIL,GA3QM6PTYR3MLGXSPMWP5F2PTAQKORTSWMKMFOYLIGV4NI2X7SKWCOSM,342806
SGB,GB3CRNADBGTVABSTWJMCZROF2FIQLTI4VZC25OFAHAYDHUU24BEUDSBI,334274
XFLARE,GD7C2AUMWBYJAYY75I3ZZYWM6CX26KUFFDRDYZ4JRHKYJ5AGSJUXZU5A,330123
DBC,GBHD5TDFXKKZB32TEE7T6OM4WWME4X27DTVSVO26ZVZYWMWN2MT2552X,326944
eLAYER,GBG4BFUGQZQYMAZ47G3L23UN4BS4SXXABPVULEJURVEVMS5PYBKQELON,326252
eMAKER,GBG4BFUGQZQYMAZ47G3L23UN4BS4SXXABPVULEJURVEVMS5PYBKQELON,324656
LDEX,GCP3ENO3QM7HTOD6V4NNMRQXAF47YYECL52WH7YLNADUDNL4RDDKLDEX,324603
DRTHDoge,GDIXFX7YDZXXYRL6XMCWCOEH6D3JM6BSUX4IZRNSATPXNH6MJTO4EQHS,324571
KELP,GAZVWSSHMB2VX5SY7K2YMCVA55VMRPJJ2ZZT5TY3W4S7YLTVB3H2KELP,319855
LINEG,GDZWAODNEG4Q5FRLTK6MWG2HDWLTFJD6QIAVFWN5NF2RZVQ2OAU7LINE,318965
DASH,GCQEKCSJ7IQTEEOT57T5LXKEYPPEBZGODQZHUYOBW6HKNSXUXAMH376F,315596
CLSL,GAQFSAW5NR5R4YVINHUWPW3KVPEZFCRB7KL5FBPVCGJLXUWSIBCGCLSL,315119
PI,GDDB3QZSCUUB2HUFJW24HDJKULCQU2Y7CHXZSZE2RZVKURIYFUOEMXNY,312018
YBX,GBUYYBXWCLT2MOSSHRFCKMEDFOVSCAXNIEW424GLN666OEXHAAWBDYMX,310606
CSM,GAFWA2DAM34MK3UVD34ECEHO5QIO2ILHLFOPJC33INPGUPLBC2EVNCSM,309741
eCORE,GA6AOTVLI736FYIRQUFGMGXELOT7ZXQI4T6BTRAHTONKYFEAP66EELON,307279
BOLSILVER,GBUIE2JMJMDTGRHATCBY7ZILKJ3LALS6SYKJK5WQWBSAWBMMHFQYSILV,302256
FKPLATINUM,GDUZXK2FIGNQIZLSMEDMKZLPA3CXW3FXEGU2GSVPO6KOR5WVJHHOQUSA,300099
EVER,GDRCJ5OJTTIL4VUQZ52PCZYAUINEH2CUSP5NC2R6D6WQ47JBLG6DF5TE,298040
MONEY,GA2KQTETIRREL66P64GV6KCVICPULLDVHWJDZSIJKDLIAGBXUCIZ6P6E,297815
AUDT,GCFMUFXOSGZSGJXAW2UKC6EKJDAKXR5BF47QVGQSPMYV5MAZ272HWAUS,296818
eCIRCLE,GCP2DC5TUYN27WSJ3XL5WBSZBALL2DTQOFFRECVJE4VHNAU33A75ELON,295455
eSOLAR,GBG4BFUGQZQYMAZ47G3L23UN4BS4SXXABPVULEJURVEVMS5PYBKQELON,294364
TECH,GBFYOKXP3RDBFICVHGDPF4GYKI54FJBV7VTHEAUACMHK7RTR2GEUDEZH,293695
eLIQUID,GBG4BFUGQZQYMAZ47G3L23UN4BS4SXXABPVULEJURVEVMS5PYBKQELON,293412
NESARA,GDUZXK2FIGNQIZLSMEDMKZLPA3CXW3FXEGU2GSVPO6KOR5WVJHHOQUSA,291652
VITOL,GCXOSD5IQ5RTTPM7JUTJH7E542JPUOYXPCKLCXVDHUD2AHWFXNYUKVIT,291421
EUA,GB3OE4IBQTYQFZZS5RXQHE4IPQL7ONOFOSAIS2NFRNMJKZEAI3AAUT2A,286171
XYZ,GCQHDR2KSCVNULFX3C2NKFEXNJEUELJVMQAN3OCLAM5KXG4DWQSRMXYZ,285378
ELPPA,GDHIELFPBA3Q5M4WN32U67PBHNRUFRSADNVLBQ5W3F7VJPL6H62QBKGN,285099
Hu,GBEHADLIUFIOGCTR3VZFHIGRDFX2ICBAPXSOLYPDY2HL4EMV6RQAFO7U,283988
GINSILVER,GAJB6GGEP3XCOIG6AAZA67BMNXBDNCVJZL3TMNULZRC5GYXDDTRYVGIN,283057
LEDGER,GCLPMW3OR2Y3ZYPAOO7VVIXXVBTNOPDGNDFV3YYW2HBJBDGXRCUXPROJ,280809
XFLARE,GDO4HS6MCSQN7BHWOS3URVWTKO676N2KZQV2UW7H554JCYXSENAUXOVL,278423
WDOG,GB5TWYZTZIJKFGZH6LG7GCV3ZWLX624B7B22WOPMYFUK5LDYKQ4AWBRY,277657
ENERGY,GCXOSD5IQ5RTTPM7JUTJH7E542JPUOYXPCKLCXVDHUD2AHWFXNYUKVIT,277166
CODSILVER,GCRKORLDVAEO5EQWPN433KWQ2D5CIBVV4HOYAKE5NF7HZ6HY4AVBDCON,276342
BLACKROCK,GD34CA5KSZERZQFYB545XASMRKFNDUNWR6HCK2LLSOXN46JF2BQCJ2PM,274063
wSHX,GDAPJ5EVAXUU5ZLDHBUQF3MA5EV7S44T3AJPY42LMSD6ZZKQOQIAWSHX,271460
SHROOMZ,GCAKKZCTJPDVMHPSKNRZIAGEJWZS6LQ5NGZIGFN2LIQGC6S2EV5SMHRB,268301
OASIS,GC44DZH3NM74YUOG2O7NJRLJVUCLFXBWDKEIRUGQXGLAN27FFRDNIFOZ,266196
LINECOIN,GCKDSCQVLAKOKK2N4FP4FFYJ7KJDIIHLZTOWKPHOEYMH53DMMPGICOIN,261501
DUNBAR,GBQSSN5Z2TS3MBX74CIOV577CDFRTIAIFXRBXSFNUA5ODS7QQT37WBIS,261256
APEXMINES,GBMQMQ6GMTNICGGUZPR6CV4NHETO7KZAVW272Y4UVCLPZVK7YV63APEX,259945
ERRES,GA6ZAQGLDUEODDUUD3UD6PUFJYABWQA26SG5RK6E6CZ6OMD6AZKK5QNF,257866
Coyote,GAZDKLRHEC3L4AAN7525WM45RU566I3N2AMU6GCVPIRNFSPMO22L26QV,257850
SDNPLATINUM,GARNNBX4EBD6UNAL5GWJWF6VAV5ZZRCCPSIBUKLNXP25IJBODYPQVSUD,250687
USDT,GBOXNWGBB7SG3NVIA7O25M7JIRSXQ4KKU3GYARJEFMQXSR3APF3KRI6S,248985
XXA,GCQTMTNBGWPK5CM7WJOPFC4UJMHXELZQ2AXXVIE2Z4XFDSUUXJJQU273,248358
USDR,GDK7VUK6PG7T5U2EROPENG7JH4ESLGS3SRCSIKBABBFWRMGTUSC4DE6X,246472
ARAMCO,GANITGVWGPGOPWF2QAV44NH3MUGUOFG5ZP5VUIISAITU4H7RHIUKARAM,243390
enec8804,GDS5JKWWPTISJMFVUPC3HOJKRXMNJNYDNM2OEXDG3UEZ7RGG7X3FIZZ4,240956
eCONNECT,GDYLX776LJ3SSTSADZ5HZDCFZSOU6NQEGTOXZ3BS6QI6VMBWNEF7CONN,235232
BUSD,GCGDO4RD5HKQ6RMYMXYRRLLLILRF4C4VHCHJ6OWNTADHQUF3RTEO2RFE,234619
ASTRA,GBRYVVO3S3XCLP3OKADPW4TTBKZWDL26UBESOUU346MLONPSGHDFMTUB,233797
eORBITAL,GBG4BFUGQZQYMAZ47G3L23UN4BS4SXXABPVULEJURVEVMS5PYBKQELON,231434
BRICS,GA7GKMJ4FWUDSYZGJDWOXV2KHELZVSJLJXE7TCB4TAUXWWERPDRTBRIC,230952
AMUL,GCZ6K73BCDZ2MCZHLTIPC3CGND2WG7UBW2FGQZH7CTVOOWKPNVBHFTWJ,228635
XPLA,GAME7NF5G4D6ICN6NSUGEGBT6BF6M2ZDOOWR5KL7NILOHDVMH3IMCR7Q,226006
EURC,GDHU6WRG4IEQXM5NZ4BMPKOXHW76MZM4Y2IEMFDVXBSDP6SJY4ITNPP2,225111
UNION,GDDCOP2GDKNEMNB5EDIWIVT5QX5PNKZTKODEU3HCTILWA37S6ZCUTLLB,224671
eSYS,GCZEZFB7GSTZ2WFZQP5C24YYEHVQYHJJA3AZAUS5AOBP4X6YZ6SGZSYS,224009
5XLM,GBPUPTKRE4GBDZYZMC5Z534P3QY6I4QC5MZE3PT3GKYWAE6U4YDOCAKB,222609
PAMP,GAME7NF5G4D6ICN6NSUGEGBT6BF6M2ZDOOWR5KL7NILOHDVMH3IMCR7Q,221286
QBRONZE,GAM5E45JMMLMZLU4BTY3PN5TO4GVPBU7MN35OAXJUQMWG7PT544METAL,221283
eCURVE,GBG4BFUGQZQYMAZ47G3L23UN4BS4SXXABPVULEJURVEVMS5PYBKQELON,220965
eVAULT,GBG4BFUGQZQYMAZ47G3L23UN4BS4SXXABPVULEJURVEVMS5PYBKQELON,219267
XXA,GBKHYTKW6HL76UILTIGEPZ57GPAYWWRNBYD2TUGW3ZFXQ5RFP6GCHXG7,218031
